condition,range,layer,resid_post_final_token_norm
Thin neutral persona,30-40,31,1019.000000
Transactional framing,8-10,0,5.621094
Transactional framing,8-10,1,6.703125
Transactional framing,8-10,2,7.953125
Transactional framing,8-10,3,10.367188
Transactional framing,8-10,4,13.453125
Transactional framing,8-10,5,17.406250
Transactional framing,8-10,6,23.656250
Transactional framing,8-10,7,30.531250
Transactional framing,8-10,8,37.156250
Transactional framing,8-10,9,45.156250
Transactional framing,8-10,10,52.875000
Transactional framing,8-10,11,57.500000
Transactional framing,8-10,12,63.281250
Transactional framing,8-10,13,69.937500
Transactional framing,8-10,14,79.125000
Transactional framing,8-10,15,86.687500
Transactional framing,8-10,16,98.500000
Transactional framing,8-10,17,110.062500
Transactional framing,8-10,18,131.375000
Transactional framing,8-10,19,138.500000
Transactional framing,8-10,20,165.125000
Transactional framing,8-10,21,190.750000
Transactional framing,8-10,22,217.750000
Transactional framing,8-10,23,245.750000
Transactional framing,8-10,24,283.000000
Transactional framing,8-10,25,336.000000
Transactional framing,8-10,26,379.250000
Transactional framing,8-10,27,409.000000
Transactional framing,8-10,28,468.000000
Transactional framing,8-10,29,513.000000
Transactional framing,8-10,30,582.500000
Transactional framing,8-10,31,928.500000
Transactional framing,20-25,0,5.257812
Transactional framing,20-25,1,6.046875
Transactional framing,20-25,2,7.328125
Transactional framing,20-25,3,9.593750
Transactional framing,20-25,4,12.687500
Transactional framing,20-25,5,16.953125
Transactional framing,20-25,6,22.531250
Transactional framing,20-25,7,27.625000
Transactional framing,20-25,8,32.687500
Transactional framing,20-25,9,41.375000
Transactional framing,20-25,10,45.750000
Transactional framing,20-25,11,49.000000
Transactional framing,20-25,12,62.125000
Transactional framing,20-25,13,68.750000
Transactional framing,20-25,14,79.812500
Transactional framing,20-25,15,85.875000
Transactional framing,20-25,16,92.750000
Transactional framing,20-25,17,100.687500
Transactional framing,20-25,18,119.312500
Transactional framing,20-25,19,124.250000
Transactional framing,20-25,20,145.125000
Transactional framing,20-25,21,164.625000
Transactional framing,20-25,22,190.375000
Transactional framing,20-25,23,220.625000
Transactional framing,20-25,24,256.000000
Transactional framing,20-25,25,307.750000
Transactional framing,20-25,26,356.000000
Transactional framing,20-25,27,395.250000
Transactional framing,20-25,28,457.000000
Transactional framing,20-25,29,518.500000
Transactional framing,20-25,30,591.000000
Transactional framing,20-25,31,959.000000
Transactional framing,30-40,0,5.074219
Transactional framing,30-40,1,5.808594
Transactional framing,30-40,2,7.207031
Transactional framing,30-40,3,9.421875
Transactional framing,30-40,4,12.585938
Transactional framing,30-40,5,17.078125
Transactional framing,30-40,6,22.187500
Transactional framing,30-40,7,26.984375
Transactional framing,30-40,8,32.250000
Transactional framing,30-40,9,40.031250
Transactional framing,30-40,10,44.312500
Transactional framing,30-40,11,48.250000
Transactional framing,30-40,12,59.531250
Transactional framing,30-40,13,66.562500
Transactional framing,30-40,14,77.187500
Transactional framing,30-40,15,83.437500
Transactional framing,30-40,16,89.812500
Transactional framing,30-40,17,98.250000
Transactional framing,30-40,18,116.562500
Transactional framing,30-40,19,120.250000
Transactional framing,30-40,20,143.625000
